ensembl_gene_id	ensembl_transcript_id	rgd_symbol	entrezgene_id
ENSRNOG00000051591	ENSRNOT00000090180		
ENSRNOG00000021134	ENSRNOT00000028693	Anxa9	689830
ENSRNOG00000046858	ENSRNOT00000075521	MGC109340	317409
ENSRNOG00000046858	ENSRNOT00000075521	MGC109340	100360464
ENSRNOG00000048644	ENSRNOT00000065210		
ENSRNOG00000059664	ENSRNOT00000088891		
ENSRNOG00000023373	ENSRNOT00000038509	Sec24b	295461
ENSRNOG00000011967	ENSRNOT00000066623	Nphp4	313749
ENSRNOG00000059641	ENSRNOT00000091530		
ENSRNOG00000061457	ENSRNOT00000081070		
ENSRNOG00000023126	ENSRNOT00000031693	Rxfp3	294807
ENSRNOG00000054205	ENSRNOT00000079474		
ENSRNOG00000037611	ENSRNOT00000043861		
ENSRNOG00000053556	ENSRNOT00000084488		
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694591	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694599	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694600	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694601	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694603	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694604	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694605	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694608	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694609	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694610	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694607
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694608
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694609
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694610
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694611
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694612
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694613
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694614
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694611	103694768
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694591
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694598
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694599
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694600
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694601
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694602
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694603
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694604
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694605
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694606
ENSRNOG00000059366	ENSRNOT00000087179	LOC103694612	103694607
