ENST00000431800	
ENST00000437643	
ENST00000453688	
ENST00000447959	
ENST00000609027	
ENST00000630008	
ENST00000627824	
ENST00000625367	
ENST00000628123	
ENST00000627999	
ENST00000625982	
ENST00000564198	
ENST00000510260	HGNC:1242
ENST00000509305	HGNC:1242
ENST00000432749	HGNC:1242
ENST00000314933	HGNC:1242
ENST00000427936	HGNC:4962
ENST00000462865	HGNC:4962
ENST00000467974	HGNC:4962
ENST00000440488	HGNC:42075
ENST00000608489	
ENST00000408899	HGNC:15084
ENST00000627593	HGNC:15084
ENST00000254190	HGNC:17198
ENST00000543813	HGNC:17198
ENST00000560766	HGNC:17198
ENST00000561414	HGNC:17198
ENST00000561143	HGNC:17198
ENST00000559384	HGNC:17198
ENST00000382388	HGNC:16206
ENST00000299608	HGNC:24718
ENST00000578816	HGNC:24718
ENST00000564631	HGNC:24718
ENST00000566135	HGNC:24718
ENST00000578765	HGNC:24718
ENST00000566887	HGNC:24718
ENST00000569053	HGNC:24718
ENST00000443099	HGNC:24718
ENST00000562706	HGNC:24718
ENST00000564008	HGNC:24718
ENST00000565918	HGNC:24718
ENST00000580785	HGNC:24718
ENST00000569982	HGNC:24718
ENST00000544714	HGNC:24718
ENST00000439075	HGNC:50866
ENST00000612091	
ENST00000628328	HGNC:48986
ENST00000628762	HGNC:48986
ENST00000625477	HGNC:48986
ENST00000629732	HGNC:48986
ENST00000446962	
ENST00000462503	HGNC:29803
ENST00000602288	HGNC:21476
ENST00000441861	HGNC:44477
ENST00000446281	HGNC:44477
ENST00000452802	HGNC:44477
ENST00000420095	HGNC:44477
ENST00000455811	HGNC:44477
ENST00000439407	HGNC:44477
ENST00000458666	HGNC:44477
ENST00000383656	HGNC:21195
ENST00000576372	HGNC:1305
ENST00000576061	HGNC:1305
ENST00000573131	HGNC:1305
ENST00000571812	HGNC:1305
ENST00000610926	HGNC:1305
ENST00000518178	
ENST00000466734	HGNC:48569
ENST00000463143	HGNC:48569
ENST00000490441	HGNC:48569
ENST00000473550	HGNC:48569
ENST00000495228	HGNC:48569
ENST00000414808	
ENST00000449091	
ENST00000295683	HGNC:6026
ENST00000375825	HGNC:13935
ENST00000375824	HGNC:13935
ENST00000479334	HGNC:13935
ENST00000624029	
ENST00000625183	
ENST00000477715	HGNC:22988
ENST00000477047	HGNC:22988
ENST00000316087	HGNC:22988
ENST00000274432	HGNC:22988
ENST00000379990	HGNC:22988
ENST00000489917	HGNC:22988
ENST00000496488	
ENST00000414127	
ENST00000592680	
ENST00000562268	
ENST00000568348	
ENST00000563605	
ENST00000604371	
ENST00000243298	HGNC:14090
ENST00000445877	HGNC:25764
ENST00000325875	HGNC:25764
ENST00000615118	HGNC:25764
ENST00000575401	HGNC:1290
ENST00000571181	HGNC:1290
ENST00000621117	HGNC:1290
ENST00000572066	HGNC:1290
ENST00000575623	HGNC:1290
ENST00000573397	HGNC:1290
ENST00000571434	HGNC:1290
ENST00000565451	
ENST00000569726	
ENST00000631187	HGNC:18600
ENST00000630135	HGNC:18600
ENST00000620361	HGNC:18600
ENST00000628386	HGNC:18600
ENST00000626696	HGNC:18600
ENST00000625857	HGNC:18600
ENST00000627602	HGNC:18600
ENST00000628154	HGNC:18600
ENST00000626276	HGNC:18600
ENST00000626693	HGNC:18600
ENST00000627961	HGNC:18600
ENST00000453159	HGNC:43664
ENST00000413862	HGNC:43664
ENST00000608690	HGNC:43664
ENST00000608622	HGNC:43664
ENST00000608632	HGNC:43664
ENST00000609192	HGNC:43664
ENST00000608641	HGNC:43664
ENST00000625189	HGNC:43664
ENST00000625079	HGNC:43664
ENST00000623579	HGNC:43664
ENST00000623638	HGNC:43664
ENST00000624080	HGNC:43664
ENST00000624086	HGNC:43664
ENST00000624883	HGNC:43664
ENST00000623647	HGNC:43664
ENST00000623484	HGNC:43664
ENST00000427491	HGNC:43664
ENST00000432988	HGNC:43664
ENST00000578490	
ENST00000595243	HGNC:15609
ENST00000585275	
ENST00000521002	HGNC:25678
ENST00000523008	HGNC:25678
ENST00000521701	HGNC:25678
ENST00000262103	HGNC:25678
ENST00000522254	HGNC:25678
ENST00000523092	HGNC:25678
ENST00000519425	HGNC:25678
ENST00000521721	HGNC:25678
ENST00000433756	HGNC:25678
ENST00000623628	
ENST00000283357	HGNC:26335
ENST00000513529	HGNC:26335
ENST00000507832	HGNC:26335
ENST00000506418	HGNC:26335
ENST00000503361	HGNC:26335
ENST00000510458	HGNC:26335
ENST00000503099	HGNC:26335
ENST00000512365	HGNC:26335
ENST00000513110	HGNC:26335
ENST00000372133	HGNC:14515
ENST00000372116	HGNC:14515
ENST00000427312	HGNC:14515
ENST00000570024	
ENST00000317508	HGNC:9491
ENST00000568261	HGNC:9491
ENST00000567531	HGNC:9491
ENST00000567797	HGNC:9491
ENST00000564025	HGNC:9491
ENST00000567833	HGNC:9491
ENST00000627256	HGNC:7517
ENST00000628539	HGNC:7517
ENST00000626903	HGNC:7517
ENST00000629229	HGNC:7517
ENST00000621433	HGNC:7517
ENST00000440922	HGNC:4434
ENST00000263657	HGNC:32790
ENST00000430742	HGNC:32790
ENST00000488728	HGNC:32790
ENST00000278412	HGNC:11327
ENST00000293880	HGNC:11327
ENST00000635721	HGNC:11327
ENST00000526696	HGNC:11327
ENST00000529002	HGNC:11327
ENST00000521747	HGNC:22203
ENST00000403050	HGNC:22203
ENST00000476009	HGNC:22203
ENST00000423760	HGNC:22203
ENST00000634607	HGNC:22203
ENST00000490957	HGNC:22203
ENST00000476774	HGNC:22203
ENST00000497851	HGNC:22203
ENST00000481418	HGNC:22203
ENST00000470665	HGNC:22203
ENST00000498784	HGNC:22203
ENST00000489305	HGNC:22203
ENST00000493922	HGNC:22203
ENST00000469407	HGNC:22203
ENST00000473050	HGNC:22203
ENST00000606980	
ENST00000452841	HGNC:38115
ENST00000443635	HGNC:9272
ENST00000421994	
ENST00000485577	HGNC:27267
ENST00000393313	HGNC:27267
ENST00000265827	HGNC:27267
ENST00000393312	HGNC:27267
ENST00000434602	HGNC:27267
ENST00000436992	HGNC:27267
ENST00000439506	HGNC:27267
ENST00000619291	HGNC:27267
ENST00000557551	
ENST00000557242	
ENST00000553701	
ENST00000607673	
ENST00000399472	HGNC:44548
ENST00000607148	
ENST00000285928	HGNC:21964
ENST00000473068	HGNC:21964
ENST00000292641	HGNC:18384
ENST00000512120	HGNC:18384
ENST00000529136	HGNC:44044
ENST00000434028	HGNC:35521
ENST00000394014	HGNC:16776
ENST00000489251	
ENST00000605291	
ENST00000567961	
ENST00000565139	
ENST00000562570	
ENST00000568394	
ENST00000565467	
ENST00000563863	
ENST00000565069	
ENST00000563837	
ENST00000425881	
ENST00000444348	
ENST00000565271	
ENST00000429630	
ENST00000295888	HGNC:20751
ENST00000425179	HGNC:20751
ENST00000514711	HGNC:20751
ENST00000504839	HGNC:20751
ENST00000509825	HGNC:20751
ENST00000505923	HGNC:20751
ENST00000512267	HGNC:20751
ENST00000426414	HGNC:20751
ENST00000514071	HGNC:20751
ENST00000504990	HGNC:20751
ENST00000509172	HGNC:20751
ENST00000502713	HGNC:20751
ENST00000612163	
ENST00000614753	HGNC:6339
ENST00000613029	HGNC:6339
ENST00000413813	HGNC:39645
ENST00000503376	HGNC:43926
ENST00000533484	HGNC:8386
ENST00000580511	HGNC:21223
ENST00000580854	HGNC:21223
ENST00000369122	HGNC:21223
ENST00000369120	HGNC:21223
ENST00000556294	
ENST00000303904	HGNC:21749
ENST00000465027	HGNC:21749
ENST00000419210	HGNC:21749
ENST00000418625	HGNC:21749
ENST00000472107	HGNC:21749
ENST00000468499	HGNC:21749
ENST00000496358	HGNC:21749
ENST00000474823	HGNC:21749
ENST00000426712	HGNC:21749
ENST00000483891	HGNC:21749
ENST00000631486	
ENST00000547691	HGNC:29021
ENST00000552810	HGNC:29021
ENST00000604024	HGNC:29021
ENST00000547926	HGNC:29021
ENST00000550962	HGNC:29021
ENST00000552770	HGNC:29021
ENST00000309041	HGNC:29021
ENST00000397838	HGNC:29021
ENST00000352432	HGNC:815
ENST00000383800	HGNC:815
ENST00000460129	HGNC:815
ENST00000397077	HGNC:815
ENST00000452124	HGNC:815
ENST00000467702	HGNC:815
ENST00000468426	HGNC:815
ENST00000480680	HGNC:815
ENST00000360273	HGNC:815
ENST00000425953	
ENST00000614286	
ENST00000610384	
ENST00000345847	HGNC:18909
ENST00000396994	HGNC:49625
ENST00000457790	HGNC:42406
ENST00000514739	HGNC:43999
ENST00000444039	
ENST00000599273	HGNC:44315
ENST00000593667	HGNC:44315
ENST00000414677	HGNC:44315
ENST00000420529	HGNC:44315
ENST00000422352	HGNC:44315
ENST00000600157	HGNC:44315
ENST00000609252	HGNC:44315
ENST00000460833	HGNC:42435
ENST00000485174	HGNC:42435
ENST00000474768	HGNC:42435
ENST00000481312	HGNC:42435
ENST00000431287	
ENST00000566088	HGNC:42410
ENST00000571890	
ENST00000371470	HGNC:6815
ENST00000371466	HGNC:6815
ENST00000495868	HGNC:6815
ENST00000462941	HGNC:6815
ENST00000425576	
ENST00000403074	
ENST00000513276	HGNC:9787
ENST00000394894	HGNC:9787
ENST00000508792	HGNC:9787
ENST00000511638	HGNC:9787
ENST00000503417	HGNC:9787
ENST00000504621	HGNC:9787
ENST00000502338	HGNC:9787
ENST00000354336	HGNC:2363
ENST00000411769	HGNC:2363
ENST00000265404	HGNC:24133
ENST00000396225	HGNC:24133
ENST00000496943	
ENST00000599431	
ENST00000595232	
ENST00000597514	
ENST00000594608	
ENST00000596305	
ENST00000597154	
ENST00000601383	
ENST00000599131	
ENST00000593837	
ENST00000568788	
