ENSG00000105583	ENST00000598732	WDR83OS	HGNC:30203	
ENSG00000164049	ENST00000296438	FBXW12	HGNC:20729	Q6X9E4
ENSG00000277117	ENST00000612610			
ENSG00000277117	ENST00000623960			
ENSG00000164049	ENST00000436231	FBXW12	HGNC:20729	
ENSG00000151665	ENST00000281382	PIGF	HGNC:8962	Q07326
ENSG00000277117	ENST00000623903			
ENSG00000164049	ENST00000445170	FBXW12	HGNC:20729	Q6X9E4
ENSG00000277117	ENST00000623795			
ENSG00000164066	ENST00000335251	INTU	HGNC:29239	Q9ULD6
ENSG00000277117	ENST00000620481			
ENSG00000164049	ENST00000415155	FBXW12	HGNC:20729	Q6X9E4
ENSG00000151665	ENST00000420164	PIGF	HGNC:8962	
ENSG00000140285	ENST00000267843	FGF7	HGNC:3685	P21781
ENSG00000151665	ENST00000306465	PIGF	HGNC:8962	Q07326
ENSG00000140285	ENST00000560270	FGF7	HGNC:3685	P21781
ENSG00000151665	ENST00000412717	PIGF	HGNC:8962	
ENSG00000140285	ENST00000560765	FGF7	HGNC:3685	P21781
ENSG00000125788	ENST00000382398	DEFB126	HGNC:15900	Q9BYW3
ENSG00000134086	ENST00000256474	VHL	HGNC:12687	P40337
ENSG00000164066	ENST00000503626	INTU	HGNC:29239	Q9ULD6
ENSG00000140285	ENST00000560979	FGF7	HGNC:3685	
ENSG00000151665	ENST00000474980	PIGF	HGNC:8962	
ENSG00000164066	ENST00000503952	INTU	HGNC:29239	Q9ULD6
ENSG00000134086	ENST00000345392	VHL	HGNC:12687	P40337
ENSG00000140285	ENST00000614567	FGF7	HGNC:3685	P21781
ENSG00000164066	ENST00000506283	INTU	HGNC:29239	
ENSG00000164066	ENST00000510766	INTU	HGNC:29239	
ENSG00000143919	ENST00000402247	CAMKMT	HGNC:26276	
ENSG00000167524	ENST00000578956			
ENSG00000143919	ENST00000407131	CAMKMT	HGNC:26276	
ENSG00000164465	ENST00000296955	DCBLD1	HGNC:21479	Q8N8Z6
ENSG00000273398	ENST00000406334			
ENSG00000143919	ENST00000403853	CAMKMT	HGNC:26276	Q7Z624
ENSG00000164465	ENST00000338728	DCBLD1	HGNC:21479	Q8N8Z6
ENSG00000167524	ENST00000494272			
ENSG00000120784	ENST00000589018	ZFP30	HGNC:29555	
ENSG00000167195	ENST00000300576	GOLGA6C	HGNC:32206	A6NDK9
ENSG00000167524	ENST00000301037			
ENSG00000105695	ENST00000600291	MAG	HGNC:6783	
ENSG00000164465	ENST00000424717	DCBLD1	HGNC:21479	
ENSG00000120784	ENST00000351218	ZFP30	HGNC:29555	Q9Y2G7
ENSG00000272602	ENST00000610261	ZNF595	HGNC:27196	
ENSG00000120784	ENST00000514101	ZFP30	HGNC:29555	Q9Y2G7
ENSG00000143919	ENST00000378494	CAMKMT	HGNC:26276	Q7Z624
ENSG00000143919	ENST00000454433	CAMKMT	HGNC:26276	
ENSG00000272602	ENST00000608255	ZNF595	HGNC:27196	
ENSG00000143919	ENST00000428929	CAMKMT	HGNC:26276	
ENSG00000260097	ENST00000563237	SPDYE6	HGNC:35465	
ENSG00000120784	ENST00000587809	ZFP30	HGNC:29555	
ENSG00000143919	ENST00000428993	CAMKMT	HGNC:26276	
